"Activity","Vehicle","N"
"Return","Light",1062
"Return","Medium",7519
"Return","Heavy",4173
"Delivery","Light",691
"Delivery","Medium",8813
"Delivery","Heavy",2722
"Transfer","Light",22
"Transfer","Medium",1508
"Transfer","Heavy",4419
"Pick-up","Light",565
"Pick-up","Medium",4903
"Pick-up","Heavy",290
"Break/Meal","Light",73
"Break/Meal","Medium",498
"Break/Meal","Heavy",244
"Vehicle Service","Light",71
"Vehicle Service","Medium",433
"Vehicle Service","Heavy",200
"Other","Light",125
"Other","Medium",384
"Other","Heavy",63
