"SCTG","Commodity","ProCon","Shipments"
1,"Live animals/fish","Produce",19944
1,"Live animals/fish","Consume",16494
2,"Cereal grains","Produce",61844
2,"Cereal grains","Consume",60099
3,"Other ag. prods.","Produce",741822
3,"Other ag. prods.","Consume",1674396
4,"Animal feed","Produce",44907
4,"Animal feed","Consume",27586
5,"Meat/seafood","Produce",63234
5,"Meat/seafood","Consume",47806
6,"Milled grain prods.","Produce",109271
6,"Milled grain prods.","Consume",44667
7,"Other foodstuffs","Produce",378524
7,"Other foodstuffs","Consume",188569
8,"Alcoholic beverages","Produce",90144
8,"Alcoholic beverages","Consume",72893
9,"Tobacco prods.","Produce",14
10,"Building stone","Produce",7742
10,"Building stone","Consume",5108
11,"Natural sands","Produce",17222
11,"Natural sands","Consume",29061
12,"Gravel","Produce",432163
12,"Gravel","Consume",418939
13,"Nonmetallic minerals","Produce",11830
13,"Nonmetallic minerals","Consume",25309
14,"Metallic ores","Produce",9719
14,"Metallic ores","Consume",8386
15,"Coal","Produce",164
15,"Coal","Consume",4906
17,"Gasoline","Produce",72902
17,"Gasoline","Consume",40080
18,"Fuel oils","Produce",49978
18,"Fuel oils","Consume",31331
19,"Coal-n.e.c.","Consume",69710
19,"Coal-n.e.c.","Produce",141704
20,"Basic chemicals","Produce",86419
20,"Basic chemicals","Consume",79718
21,"Pharmaceuticals","Produce",220556
21,"Pharmaceuticals","Consume",30410
22,"Fertilizers","Produce",28530
22,"Fertilizers","Consume",35488
23,"Chemical prods.","Produce",191958
23,"Chemical prods.","Consume",58289
24,"Plastics/rubber","Produce",439158
24,"Plastics/rubber","Consume",127181
25,"Logs","Produce",4318063
25,"Logs","Consume",3788595
26,"Wood prods.","Produce",430004
26,"Wood prods.","Consume",269963
27,"Newsprint/paper","Produce",144719
27,"Newsprint/paper","Consume",56981
28,"Paper articles","Produce",195773
28,"Paper articles","Consume",64459
29,"Printed prods.","Produce",1128938
29,"Printed prods.","Consume",456050
30,"Textiles/leather","Produce",98480
30,"Textiles/leather","Consume",18082
31,"Nonmetal min. prods.","Produce",347859
31,"Nonmetal min. prods.","Consume",196609
32,"Base metals","Produce",145425
32,"Base metals","Consume",89401
33,"Articles-base metal","Produce",335755
33,"Articles-base metal","Consume",100050
34,"Machinery","Produce",268419
34,"Machinery","Consume",56498
35,"Electronics","Produce",2788285
35,"Electronics","Consume",1047615
36,"Motorized vehicles","Produce",170738
36,"Motorized vehicles","Consume",45454
37,"Transport equip.","Produce",40957
37,"Transport equip.","Consume",11948
38,"Precision instruments","Produce",341276
38,"Precision instruments","Consume",508010
39,"Furniture","Produce",871973
39,"Furniture","Consume",626421
40,"Misc. mfg. prods.","Produce",113985
40,"Misc. mfg. prods.","Consume",23086
41,"Waste/scrap","Produce",130780
41,"Waste/scrap","Consume",150382
