"Shipment Size","Movement Type","Shipments"
"Less than 50 lbs","EX",21412
"Less than 50 lbs","II",52
"Less than 50 lbs","IM",16873
"Less than 50 lbs","IX",942851
"Less than 50 lbs","XI",3349
"50 - 99 lbs","EX",437649
"50 - 99 lbs","II",1603133
"50 - 99 lbs","IM",233855
"50 - 99 lbs","IX",4565393
"50 - 99 lbs","XI",2825568
"100 - 499 lbs","EX",175051
"100 - 499 lbs","II",484414
"100 - 499 lbs","IM",161571
"100 - 499 lbs","IX",1904471
"100 - 499 lbs","XI",1490312
"500 - 749 lbs","EX",29081
"500 - 749 lbs","II",133526
"500 - 749 lbs","IM",46702
"500 - 749 lbs","IX",601509
"500 - 749 lbs","XI",441655
"750 - 999 lbs","EX",33434
"750 - 999 lbs","II",178601
"750 - 999 lbs","IM",31962
"750 - 999 lbs","IX",657065
"750 - 999 lbs","XI",443848
"1,000 - 9,999 lbs","EX",60911
"1,000 - 9,999 lbs","II",78299
"1,000 - 9,999 lbs","IM",138883
"1,000 - 9,999 lbs","IX",876978
"1,000 - 9,999 lbs","XI",161126
"10,000 - 49,999 lbs","EX",168885
"10,000 - 49,999 lbs","II",708720
"10,000 - 49,999 lbs","IM",146083
"10,000 - 49,999 lbs","IX",1057620
"10,000 - 49,999 lbs","XI",925851
"50,000 - 99,999 lbs","EX",41240
"50,000 - 99,999 lbs","II",85359
"50,000 - 99,999 lbs","IM",19442
"50,000 - 99,999 lbs","IX",125224
"50,000 - 99,999 lbs","XI",124103
"100,000 lbs or more","EX",34120
"100,000 lbs or more","II",31578
"100,000 lbs or more","IM",11977
"100,000 lbs or more","IX",54602
"100,000 lbs or more","XI",79188
