"Shipment Size","Movement Type","Tonnage"
"Less than 50 lbs","EX",295.4865
"Less than 50 lbs","II",0.9735
"Less than 50 lbs","IM",259.149
"Less than 50 lbs","IX",11324.304
"Less than 50 lbs","XI",47.793
"50 - 99 lbs","EX",12377.615
"50 - 99 lbs","II",47105.0065
"50 - 99 lbs","IM",7175.45
"50 - 99 lbs","IX",134746.864
"50 - 99 lbs","XI",82661.313
"100 - 499 lbs","EX",25137.0135
"100 - 499 lbs","II",72707.4035
"100 - 499 lbs","IM",22676.585
"100 - 499 lbs","IX",264261.7155
"100 - 499 lbs","XI",223489.5365
"500 - 749 lbs","EX",9020.8295
"500 - 749 lbs","II",41728.962
"500 - 749 lbs","IM",14404.658
"500 - 749 lbs","IX",186841.473
"500 - 749 lbs","XI",138001.95
"750 - 999 lbs","EX",14594.948
"750 - 999 lbs","II",78125.171
"750 - 999 lbs","IM",13841.6725
"750 - 999 lbs","IX",286493.0615
"750 - 999 lbs","XI",194177.6245
"1,000 - 9,999 lbs","EX",103695.811
"1,000 - 9,999 lbs","II",143725.1915
"1,000 - 9,999 lbs","IM",230084.1395
"1,000 - 9,999 lbs","IX",1493648.5985
"1,000 - 9,999 lbs","XI",304892.378
"10,000 - 49,999 lbs","EX",2448502.9535
"10,000 - 49,999 lbs","II",10502466.128
"10,000 - 49,999 lbs","IM",2012160.9875
"10,000 - 49,999 lbs","IX",14801643.352
"10,000 - 49,999 lbs","XI",13548053.969
"50,000 - 99,999 lbs","EX",1541746.329
"50,000 - 99,999 lbs","II",3190229.937
"50,000 - 99,999 lbs","IM",718319.497
"50,000 - 99,999 lbs","IX",4653078.055
"50,000 - 99,999 lbs","XI",4630016.4105
"100,000 lbs or more","EX",2554625.6135
"100,000 lbs or more","II",2356769.311
"100,000 lbs or more","IM",888018.702
"100,000 lbs or more","IX",4059100.643
"100,000 lbs or more","XI",5909940.2755
